País,Ano,Quantidade (Kg),Valor (US$),Década,Ano_Quantidade,Continente
Brasil,2022,0.6931471805599453,1.791759469228055,2020,1401.5435990922094,América do Sul
Brasil,2023,8.737131611781498,11.250196133874024,2020,17675.21725063397,América do Sul
Bulgária,2010,9.952182474074887,11.458764906010792,2010,20003.88677289052,Europa
Bulgária,2011,7.001245622069476,7.8351837552667485,2010,14079.504945981716,Europa
Bulgária,2013,8.690810307580046,9.99829760729877,2010,17494.601149158632,Europa
Bulgária,2014,9.617137925318126,10.754877030826584,2010,19368.915781590706,Europa
Bulgária,2015,9.755277525370941,10.852806788424072,2010,19656.884213622445,Europa
Bulgária,2016,9.78571701680162,10.919696014949421,2010,19728.005505872065,Europa
Bulgária,2017,10.47121322343493,11.130712908672214,2010,21120.437071668253,Europa
Bulgária,2018,9.690727406601606,9.77286620732769,2010,19555.887906522043,Europa
Bulgária,2019,9.300638009956963,9.201904893155081,2010,18777.988142103106,Europa
Bulgária,2020,10.048063973643371,10.97370036668254,2020,20297.08922675961,Europa
Bulgária,2021,10.439571482516213,11.567640897159038,2020,21098.373966165265,Europa
Bulgária,2022,10.306616600846745,10.674104903862972,2020,20839.978766912118,Europa
Bulgária,2023,10.603659998032827,11.46408179936962,2020,21451.20417602041,Europa
Canada,2008,5.983936280687191,10.340386726133822,2000,12015.744051619879,América do Norte
Canada,2011,7.750614732770409,10.464045753403807,2010,15586.486227601294,América do Norte
Canada,2014,7.333676395657684,10.164273649274849,2010,14770.024260854576,América do Norte
Canada,2018,5.71042701737487,9.765316843477462,2010,11523.641721062488,América do Norte
Canada,2022,6.785587645007929,9.359449794564023,2020,13720.458218206033,América do Norte
Canada,2023,2.70805020110221,6.968850378341948,2020,5478.385556829771,América do Norte
Chile,1970,11.997639119335368,11.530961827456327,1970,23635.349065090675,América do Sul
Chile,1971,11.217305302416877,10.8636229061867,1970,22109.308751063665,América do Sul
Chile,1972,11.993726838190417,11.468503247417482,1970,23651.629324911504,América do Sul
Chile,1973,12.616724280325638,12.265006426916552,1970,24892.797005082484,América do Sul
Chile,1974,13.218930948179375,12.971275336241142,1970,26094.169691706087,América do Sul
Chile,1975,13.766566081889373,13.5473447973145,1970,27188.96801173151,América do Sul
Chile,1976,14.592838488065343,14.269432441340633,1970,28835.448852417117,América do Sul
Chile,1977,14.768505377405877,14.489703741039879,1970,29197.335131131418,América do Sul
Chile,1978,15.135376346257004,15.043913501413044,1970,29937.774412896353,América do Sul
Chile,1979,15.259128097127524,15.277660720037689,1970,30197.81450421537,América do Sul
Chile,1980,14.758866500225494,14.978463223140604,1980,29222.55567044648,América do Sul
Chile,1981,14.314903679002844,14.667743079999584,1980,28357.824188104634,América do Sul
Chile,1982,13.574733699676178,13.932647162506857,1980,26905.122192758186,América do Sul
Chile,1983,13.302445762456685,13.568609519193865,1980,26378.749946951608,América do Sul
Chile,1984,13.102605469108239,13.17529163451163,1980,25995.569250710745,América do Sul
Chile,1985,13.924065366432316,13.99378393191166,1980,27639.26975236815,América do Sul
Chile,1986,14.114054674245484,14.163424233834405,1980,28030.51258305153,América do Sul
Chile,1987,13.726187420004072,13.82392109007421,1980,27273.93440354809,América do Sul
Chile,1988,14.030675161971228,14.203811873986039,1980,27892.982221998802,América do Sul
Chile,1989,14.518948605447804,14.799730182166916,1980,28878.188776235682,América do Sul
Chile,1990,14.241103730604255,14.525611212796711,1990,28339.79642390247,América do Sul
